款号,订货会,品牌,品名,流水号,颜色,尺码,大类,中类,小类,季节,波段,等级,色系,价格带,吊牌价,描述
13320901,1,OCT,银斜纹防辐射背心,1200,163灰色,M,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1000-1499,1480,"55.6%锦纶（含有银离子）44.4%聚酯纤维
含银量：6.9g/㎡（辅料除外）"
13320901,1,OCT,银斜纹防辐射背心,1200,163灰色,L,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1000-1499,1480,"55.6%锦纶（含有银离子）44.4%聚酯纤维
含银量：6.9g/㎡（辅料除外）"
13320901,1,OCT,银斜纹防辐射背心,1200,163灰色,XL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1000-1499,1480,"55.6%锦纶（含有银离子）44.4%聚酯纤维
含银量：6.9g/㎡（辅料除外）"
13320904,1,OCT,呢拼银针织防辐射上衣,1201,163灰色,M,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,2000以上,2080,"上身面：99%聚酯纤维 1%聚酯薄膜纤维（亮片除外）
上身里：94.3%聚酯纤维 5.7%氨纶
下身面：基布：100%锦纶 绣线：100%棉
下身里：100%锦纶（镀银）
含银量：19.2g/㎡"
13320904,1,OCT,呢拼银针织防辐射上衣,1201,163灰色,L,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,2000以上,2080,"上身面：99%聚酯纤维 1%聚酯薄膜纤维（亮片除外）
上身里：94.3%聚酯纤维 5.7%氨纶
下身面：基布：100%锦纶 绣线：100%棉
下身里：100%锦纶（镀银）
含银量：19.2g/㎡"
13320904,1,OCT,呢拼银针织防辐射上衣,1201,163灰色,XL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,2000以上,2080,"上身面：99%聚酯纤维 1%聚酯薄膜纤维（亮片除外）
上身里：94.3%聚酯纤维 5.7%氨纶
下身面：基布：100%锦纶 绣线：100%棉
下身里：100%锦纶（镀银）
含银量：19.2g/㎡"
13322901,1,OCT,天鹅绒防辐射盖毯,1202,983粉桔,L,防辐射,防辐射服装系列,防辐射抱被,秋,秋一,主力款,桔色系,500-999,798,"55.6%锦纶（含有银离子）44.4%聚酯纤维
含银量：6.9g/㎡（辅料除外）"
13322902,1,OCT,全蕾丝防辐射盖毯,1203,163灰色,L,防辐射,防辐射服装系列,防辐射抱被,秋,秋一,主力款,黑色系,500-999,798,"主布：基布：100%锦纶
绣线：100%棉
里布；55.6%锦纶（含有银离子）
44.4%聚酯纤维
含银量：6.9g/㎡
配布：100%聚酯纤维"
13322903,1,OCT,珊瑚绒防辐射盖毯,1204,586粉红印花,L,防辐射,防辐射服装系列,防辐射抱被,秋,秋一,主力款,红色系,500-999,798,"主布：100%聚酯纤维
里布：55.6%锦纶 44.4%聚酯纤维（含有银离子）
含银量：6.9g/㎡"
13323801,1,OCT,IPAD防辐射防护袋,1205,159中灰色块,L,防辐射,防辐射服装系列,手机防护袋,秋,秋一,主力款,黑色系,100-199,148,"里布：100%聚酯纤维（胶除外）
里布：37.6%聚酯纤维
33.5%棉
28.9金属纤维"
