款号,订货会,品牌,品名,流水号,颜色,尺码,大类,中类,小类,季节,波段,等级,色系,价格带,吊牌价,描述
15310715,2015OCT秋冬订货会,OCT,针织条纹印花T恤,1,948桔色条纹,M,服装,外出服装系列,T恤,秋,秋一,小S广告款,桔色系,500-999,528,"主：97%涤纶 3%氨纶
配：100%涤纶 "
15310715,2015OCT秋冬订货会,OCT,针织条纹印花T恤,1,948桔色条纹,L,服装,外出服装系列,T恤,秋,秋一,小S广告款,桔色系,500-999,528,"主：97%涤纶 3%氨纶
配：100%涤纶 "
15310715,2015OCT秋冬订货会,OCT,针织条纹印花T恤,1,948桔色条纹,XL,服装,外出服装系列,T恤,秋,秋一,小S广告款,桔色系,500-999,528,"主：97%涤纶 3%氨纶
配：100%涤纶 "
15310715,2015OCT秋冬订货会,OCT,针织条纹印花T恤,2,108黑色条纹,M,服装,外出服装系列,T恤,秋,秋一,小S广告款,黑色系,500-999,528,"主：97%涤纶 3%氨纶
配：100%涤纶 "
15310715,2015OCT秋冬订货会,OCT,针织条纹印花T恤,2,108黑色条纹,L,服装,外出服装系列,T恤,秋,秋一,小S广告款,黑色系,500-999,528,"主：97%涤纶 3%氨纶
配：100%涤纶 "
15310715,2015OCT秋冬订货会,OCT,针织条纹印花T恤,2,108黑色条纹,XL,服装,外出服装系列,T恤,秋,秋一,小S广告款,黑色系,500-999,528,"主：97%涤纶 3%氨纶
配：100%涤纶 "
15310701,2015OCT秋冬订货会,OCT,太空棉印花有袖T恤,6,584粉红花沙,M,服装,外出服装系列,T恤,秋,秋一,主力款,红色系,400-499,468,"主：75%涤纶25%粘胶
"
15310701,2015OCT秋冬订货会,OCT,太空棉印花有袖T恤,6,584粉红花沙,L,服装,外出服装系列,T恤,秋,秋一,主力款,红色系,400-499,468,"主：75%涤纶25%粘胶
"
15310701,2015OCT秋冬订货会,OCT,太空棉印花有袖T恤,6,584粉红花沙,XL,服装,外出服装系列,T恤,秋,秋一,主力款,红色系,400-499,468,"主：75%涤纶25%粘胶
"
15310701,2015OCT秋冬订货会,OCT,太空棉印花有袖T恤,7,164灰色花沙,M,服装,外出服装系列,T恤,秋,秋一,主力款,黑色系,400-499,468,"主：75%涤纶25%粘胶
"
15310701,2015OCT秋冬订货会,OCT,太空棉印花有袖T恤,7,164灰色花沙,L,服装,外出服装系列,T恤,秋,秋一,主力款,黑色系,400-499,468,"主：75%涤纶25%粘胶
"
